,incl_00,incl_01,incl_02,incl_03,incl_04,incl_05,incl_06,incl_07,incl_08,incl_09,incl_10,incl_11,incl_12,incl_13,incl_14,incl_15,incl_16,incl_17,incl_18,incl_19,skip_00,skip_01,skip_02,skip_03,skip_04,skip_05,skip_06,skip_07,skip_08,skip_09,skip_10,skip_11,skip_12,skip_13,skip_14,skip_15,skip_16,skip_17,skip_18,skip_19
incl_00,1.000000,0.259743,0.198103,0.092953,0.130971,0.403714,-0.045821,-0.067055,0.391449,0.031720,0.114574,0.087041,0.206425,0.047112,0.140461,0.256580,0.109770,0.155992,0.330189,0.104080,0.148493,0.121751,-0.120359,-0.049267,-0.152210,0.156244,-0.221088,0.164088,0.111925,0.029796,0.625138,-0.228630,0.495568,-0.197803,0.109695,0.243892,0.044083,-0.045614,-0.025126,0.397860
incl_01,0.259743,1.000000,0.052904,0.029612,0.371302,0.060128,-0.068188,-0.041961,0.471864,0.192713,-0.091234,-0.006504,-0.012958,0.223756,0.280021,0.029672,0.185570,0.221751,0.234767,0.066075,0.069353,0.246588,-0.252564,0.095501,-0.055380,-0.082660,-0.148597,-0.150139,0.879819,0.212762,0.057585,-0.142070,0.596539,0.232245,-0.055884,0.216001,0.002572,-0.080726,-0.164765,0.032523
incl_02,0.198103,0.052904,1.000000,-0.326150,0.072571,0.065857,0.020873,0.239832,0.071557,0.279291,0.016496,0.190880,-0.016996,-0.091551,-0.092452,-0.093722,-0.047009,-0.026564,-0.120007,0.066335,0.081699,-0.064455,-0.223964,-0.263404,0.051604,0.002134,-0.066348,0.218273,0.027797,-0.101414,-0.038161,0.005174,0.193807,-0.113454,-0.021737,-0.008990,0.650221,-0.018089,-0.070187,-0.060143
incl_03,0.092953,0.029612,-0.326150,1.000000,0.284981,0.087963,-0.032052,-0.035898,0.125062,-0.256588,0.213542,-0.146585,0.108815,0.124284,-0.142511,0.284687,0.333960,0.267057,0.131521,-0.084900,0.187109,0.435344,0.368757,0.556513,0.140968,0.318025,0.182152,0.181857,-0.048232,0.405944,0.080241,-0.156249,-0.079538,-0.016085,0.370478,0.182487,-0.114483,0.047736,-0.261507,0.566876
incl_04,0.130971,0.371302,0.072571,0.284981,1.000000,0.078684,0.102925,0.265602,0.453331,0.035282,0.075031,-0.073971,-0.131090,0.002932,-0.106447,0.046932,0.126622,0.534711,0.059527,-0.161015,0.224653,0.038821,-0.189160,0.254024,0.129210,0.088352,-0.008406,0.210555,0.243465,0.177848,-0.091231,-0.204700,0.249089,0.295180,0.093040,0.140774,0.227692,0.039862,-0.439624,0.230340
incl_05,0.403714,0.060128,0.065857,0.087963,0.078684,1.000000,-0.164955,-0.120140,0.386544,-0.170106,0.442934,-0.172898,0.826611,-0.206647,-0.156719,0.243131,0.013091,-0.067676,0.127607,0.462046,0.121860,0.107672,0.174740,-0.042948,-0.355444,0.017684,-0.090435,0.102769,-0.029142,-0.055453,0.117315,-0.114103,0.192660,0.021486,-0.073257,-0.098342,-0.084467,0.197784,0.249205,0.018537
incl_06,-0.045821,-0.068188,0.020873,-0.032052,0.102925,-0.164955,1.000000,0.529934,-0.223439,0.418683,0.035027,0.217550,-0.191825,0.343088,0.000390,0.213940,-0.150413,0.142502,-0.043952,-0.133701,0.324382,-0.329343,-0.205485,0.234029,0.116984,-0.164734,-0.187761,-0.300548,-0.045759,-0.082650,-0.119190,0.545622,0.112993,0.205519,-0.131800,0.500040,-0.005596,0.167672,-0.030759,-0.171186
incl_07,-0.067055,-0.041961,0.239832,-0.035898,0.265602,-0.120140,0.529934,1.000000,-0.176118,0.265046,0.109575,0.293227,-0.155455,0.031885,-0.123162,0.013761,-0.006988,0.068736,-0.041094,0.005226,0.673689,-0.169503,-0.163053,0.176717,0.056808,-0.046482,-0.011914,-0.176227,-0.069459,0.007358,-0.187779,0.186943,0.021429,0.285628,-0.070674,0.186640,0.352059,0.035705,-0.125556,-0.139129
incl_08,0.391449,0.471864,0.071557,0.125062,0.453331,0.386544,-0.223439,-0.176118,1.000000,0.004461,-0.021046,-0.006541,0.216199,-0.049681,0.186089,-0.033029,0.099477,0.175567,0.261996,0.163631,-0.087250,0.275211,-0.189229,-0.000355,-0.191030,0.254152,-0.075835,0.181128,0.416890,0.052399,0.247855,-0.279134,0.255995,0.036692,0.207521,-0.019218,0.043937,-0.169827,-0.172052,0.154821
incl_09,0.031720,0.192713,0.279291,-0.256588,0.035282,-0.170106,0.418683,0.265046,0.004461,1.000000,-0.070587,0.371716,-0.148240,0.289531,0.164810,0.094415,-0.143157,0.052619,0.113358,-0.029139,-0.007500,-0.113212,-0.366961,0.100493,-0.056868,-0.088125,-0.219977,-0.299459,0.200138,-0.127639,-0.079639,0.353488,0.414271,0.231284,-0.004730,0.364928,0.208312,-0.135104,0.012702,-0.222482
incl_10,0.114574,-0.091234,0.016496,0.213542,0.075031,0.442934,0.035027,0.109575,-0.021046,-0.070587,1.000000,-0.027289,0.545453,-0.111418,-0.279255,0.424922,0.044953,-0.124591,0.108107,0.111130,0.407206,0.188922,0.293474,0.286554,-0.255176,0.124354,-0.023677,-0.078667,-0.133402,-0.004340,-0.108715,0.160032,0.147686,0.269656,0.086943,0.053035,0.132028,0.130673,0.113808,-0.104731
incl_11,0.087041,-0.006504,0.190880,-0.146585,-0.073971,-0.172898,0.217550,0.293227,-0.006541,0.371716,-0.027289,1.000000,-0.148680,0.065136,0.395412,-0.142681,-0.173423,-0.035257,0.031439,-0.069466,0.175403,-0.083954,-0.353600,-0.029242,-0.017245,0.351673,-0.159521,-0.139000,0.058973,-0.167790,0.081502,0.185045,0.025384,0.030733,0.267851,0.070414,0.378386,-0.329002,-0.087198,-0.088933
incl_12,0.206425,-0.012958,-0.016996,0.108815,-0.131090,0.826611,-0.191825,-0.155455,0.216199,-0.148240,0.545453,-0.148680,1.000000,-0.176161,-0.170260,0.247828,0.015354,-0.184404,0.111806,0.430849,0.045757,0.289604,0.262689,0.032330,-0.357283,0.056377,-0.020683,-0.015994,-0.080122,-0.052438,0.005990,0.039596,0.131973,0.060912,-0.008790,-0.116452,-0.091906,0.054903,0.347174,-0.086812
incl_13,0.047112,0.223756,-0.091551,0.124284,0.002932,-0.206647,0.343088,0.031885,-0.049681,0.289531,-0.111418,0.065136,-0.176161,1.000000,0.205077,0.325620,0.249470,0.144606,0.161976,-0.260333,0.043868,0.129728,-0.159538,0.402598,0.314124,-0.103387,-0.087345,-0.151419,0.194265,0.334138,0.248853,0.252193,0.205374,0.040736,0.054461,0.808467,-0.076360,-0.036741,-0.219223,0.097107
incl_14,0.140461,0.280021,-0.092452,-0.142511,-0.106447,-0.156719,0.000390,-0.123162,0.186089,0.164810,-0.279255,0.395412,-0.170260,0.205077,1.000000,-0.229842,-0.124963,0.081271,-0.024366,0.038633,-0.108724,-0.182370,-0.435076,-0.119802,0.021567,-0.001794,-0.297445,-0.246697,0.430371,-0.112544,0.285556,-0.031738,-0.024987,-0.097674,-0.076993,-0.004015,-0.191633,-0.319913,0.024473,0.027737
incl_15,0.256580,0.029672,-0.093722,0.284687,0.046932,0.243131,0.213940,0.013761,-0.033029,0.094415,0.424922,-0.142681,0.247828,0.325620,-0.229842,1.000000,0.158186,0.089039,0.267804,-0.086992,0.233967,0.181074,0.244118,0.528821,-0.110814,-0.066893,-0.095555,-0.073083,-0.073660,0.181261,0.110742,0.216283,0.355989,0.089353,0.021345,0.599401,-0.070060,0.374770,-0.005587,0.153246
incl_16,0.109770,0.185570,-0.047009,0.333960,0.126622,0.013091,-0.150413,-0.006988,0.099477,-0.143157,0.044953,-0.173423,0.015354,0.249470,-0.124963,0.158186,1.000000,-0.048202,0.245137,-0.055012,0.133665,0.501692,0.226248,0.257276,0.149728,-0.066026,0.295564,0.060328,0.076649,0.891778,0.223853,-0.200055,0.084275,-0.010814,0.033013,0.174335,0.023246,-0.015547,-0.221969,0.327736
incl_17,0.155992,0.221751,-0.026564,0.267057,0.534711,-0.067676,0.142502,0.068736,0.175567,0.052619,-0.124591,-0.035257,-0.184404,0.144606,0.081271,0.089039,-0.048202,1.000000,0.050887,-0.098495,0.026682,-0.045966,-0.220205,0.097341,0.188168,0.069188,0.025336,0.239762,0.138281,0.160401,0.096158,-0.196890,0.088521,-0.110216,0.104932,0.228191,-0.048489,0.167369,-0.322370,0.510804
incl_18,0.330189,0.234767,-0.120007,0.131521,0.059527,0.127607,-0.043952,-0.041094,0.261996,0.113358,0.108107,0.031439,0.111806,0.161976,-0.024366,0.267804,0.245137,0.050887,1.000000,0.059843,-0.010465,0.351259,-0.017649,0.114560,-0.203284,0.041683,-0.060494,-0.106836,0.127703,0.203974,0.592749,-0.232796,0.436328,0.027606,0.186464,0.329476,-0.039851,-0.110417,-0.035395,0.081193
incl_19,0.104080,0.066075,0.066335,-0.084900,-0.161015,0.462046,-0.133701,0.005226,0.163631,-0.029139,0.111130,-0.069466,0.430849,-0.260333,0.038633,-0.086992,-0.055012,-0.098495,0.059843,1.000000,0.070131,-0.006222,-0.030919,-0.191045,-0.384168,-0.123908,0.029589,-0.192979,0.079710,-0.093199,-0.016626,-0.043931,-0.041208,-0.053291,-0.193488,-0.239792,-0.129862,0.061373,0.612248,-0.122889
skip_00,0.148493,0.069353,0.081699,0.187109,0.224653,0.121860,0.324382,0.673689,-0.087250,-0.007500,0.407206,0.175403,0.045757,0.043868,-0.108724,0.233967,0.133665,0.026682,-0.010465,0.070131,1.000000,-0.030371,0.024199,0.320780,-0.084539,0.028395,-0.028246,-0.150645,-0.012345,0.121497,-0.069855,0.167846,0.062203,0.202314,-0.040142,0.197101,0.206643,0.155563,-0.025456,-0.001013
skip_01,0.121751,0.246588,-0.064455,0.435344,0.038821,0.107672,-0.329343,-0.169503,0.275211,-0.113212,0.188922,-0.083954,0.289604,0.129728,-0.182370,0.181074,0.501692,-0.045966,0.351259,-0.006222,-0.030371,1.000000,0.276374,0.277757,0.020792,0.351254,0.302355,0.216867,0.088598,0.447383,0.131802,-0.220053,0.190774,0.000167,0.520223,0.132251,0.184826,-0.185268,-0.236968,0.274390
skip_02,-0.120359,-0.252564,-0.223964,0.368757,-0.189160,0.174740,-0.205485,-0.163053,-0.189229,-0.366961,0.293474,-0.353600,0.262689,-0.159538,-0.435076,0.244118,0.226248,-0.220205,-0.017649,-0.030919,0.024199,0.276374,1.000000,0.148789,-0.155891,-0.071736,0.389233,0.182956,-0.239179,0.173798,-0.105056,-0.081545,-0.186688,-0.035967,-0.065770,-0.123891,-0.168819,0.291326,-0.038791,0.042345
skip_03,-0.049267,0.095501,-0.263404,0.556513,0.254024,-0.042948,0.234029,0.176717,-0.000355,0.100493,0.286554,-0.029242,0.032330,0.402598,-0.119802,0.528821,0.257276,0.097341,0.114560,-0.191045,0.320780,0.277757,0.148789,1.000000,0.076341,0.131731,0.049528,-0.147836,0.021413,0.271130,-0.149733,0.203259,0.065533,0.292463,0.238130,0.445791,0.015394,0.043725,-0.215283,0.145280
skip_04,-0.152210,-0.055380,0.051604,0.140968,0.129210,-0.355444,0.116984,0.056808,-0.191030,-0.056868,-0.255176,-0.017245,-0.357283,0.314124,0.021567,-0.110814,0.149728,0.188168,-0.203284,-0.384168,-0.084539,0.020792,-0.155891,0.076341,1.000000,0.012689,0.065981,0.307540,-0.057946,0.198303,-0.052780,-0.103051,-0.151872,-0.131879,0.093368,0.191169,0.229281,-0.126494,-0.475697,0.334915
skip_05,0.156244,-0.082660,0.002134,0.318025,0.088352,0.017684,-0.164734,-0.046482,0.254152,-0.088125,0.124354,0.351673,0.056377,-0.103387,-0.001794,-0.066893,-0.066026,0.069188,0.041683,-0.123908,0.028395,0.351254,-0.071736,0.131731,0.012689,1.000000,0.061137,0.418295,-0.085084,-0.078825,0.052629,-0.165017,-0.077201,-0.108684,0.878022,-0.063340,0.380184,-0.307618,-0.290147,0.324027
skip_06,-0.221088,-0.148597,-0.066348,0.182152,-0.008406,-0.090435,-0.187761,-0.011914,-0.075835,-0.219977,-0.023677,-0.159521,-0.020683,-0.087345,-0.297445,-0.095555,0.295564,0.025336,-0.060494,0.029589,-0.028246,0.302355,0.389233,0.049528,0.065981,0.061137,1.000000,0.254237,-0.120891,0.313198,-0.136342,-0.142206,-0.280769,-0.108641,0.153270,-0.120674,0.074631,0.055413,-0.210060,0.064890
skip_07,0.164088,-0.150139,0.218273,0.181857,0.210555,0.102769,-0.300548,-0.176227,0.181128,-0.299459,-0.078667,-0.139000,-0.015994,-0.151419,-0.246697,-0.073083,0.060328,0.239762,-0.106836,-0.192979,-0.150645,0.216867,0.182956,-0.147836,0.307540,0.418295,0.254237,1.000000,-0.173607,0.057860,0.091410,-0.388058,-0.129694,-0.350946,0.390086,-0.113224,0.290144,-0.008126,-0.414506,0.524730
skip_08,0.111925,0.879819,0.027797,-0.048232,0.243465,-0.029142,-0.045759,-0.069459,0.416890,0.200138,-0.133402,0.058973,-0.080122,0.194265,0.430371,-0.073660,0.076649,0.138281,0.127703,0.079710,-0.012345,0.088598,-0.239179,0.021413,-0.057946,-0.085084,-0.120891,-0.173607,1.000000,0.100013,0.019372,-0.089125,0.360620,0.182175,-0.080825,0.112507,-0.038151,-0.123557,-0.121396,-0.063134
skip_09,0.029796,0.212762,-0.101414,0.405944,0.177848,-0.055453,-0.082650,0.007358,0.052399,-0.127639,-0.004340,-0.167790,-0.052438,0.334138,-0.112544,0.181261,0.891778,0.160401,0.203974,-0.093199,0.121497,0.447383,0.173798,0.271130,0.198303,-0.078825,0.313198,0.057860,0.100013,1.000000,0.172941,-0.163793,0.051667,0.015948,0.028205,0.256059,-0.035719,0.089557,-0.232628,0.339594
skip_10,0.625138,0.057585,-0.038161,0.080241,-0.091231,0.117315,-0.119190,-0.187779,0.247855,-0.079639,-0.108715,0.081502,0.005990,0.248853,0.285556,0.110742,0.223853,0.096158,0.592749,-0.016626,-0.069855,0.131802,-0.105056,-0.149733,-0.052780,0.052629,-0.136342,0.091410,0.019372,0.172941,1.000000,-0.329089,0.195263,-0.313135,0.107066,0.256126,-0.171063,-0.151996,-0.051980,0.336012
skip_11,-0.228630,-0.142070,0.005174,-0.156249,-0.204700,-0.114103,0.545622,0.186943,-0.279134,0.353488,0.160032,0.185045,0.039596,0.252193,-0.031738,0.216283,-0.200055,-0.196890,-0.232796,-0.043931,0.167846,-0.220053,-0.081545,0.203259,-0.103051,-0.165017,-0.142206,-0.388058,-0.089125,-0.163793,-0.329089,1.000000,0.027297,0.330321,-0.153259,0.229376,-0.063584,0.095536,0.358741,-0.397664
