filter,mean_activation,std_activation
incl_00,0.003737,0.005914
incl_01,0.004143,0.005569
incl_02,0.001174,0.001291
incl_03,0.002477,0.002732
incl_04,0.003013,0.003511
incl_05,0.005242,0.007198
incl_06,0.001498,0.001777
incl_07,0.001207,0.002521
incl_08,0.002388,0.003551
incl_09,0.001715,0.002033
incl_10,0.005331,0.010021
incl_11,0.002020,0.002465
incl_12,0.006304,0.009834
incl_13,0.001531,0.002399
incl_14,0.003673,0.003480
incl_15,0.001291,0.001702
incl_16,0.001975,0.002703
incl_17,0.002405,0.003354
incl_18,0.002426,0.002939
incl_19,0.001139,0.001300
skip_00,0.001060,0.001762
skip_01,0.003794,0.003145
skip_02,0.003686,0.004258
skip_03,0.002196,0.002246
skip_04,0.002821,0.003629
skip_05,0.008606,0.011676
skip_06,0.001409,0.002029
skip_07,0.004421,0.004006
skip_08,0.001833,0.004212
skip_09,0.001378,0.002430
skip_10,0.002709,0.003126
skip_11,0.002887,0.002568
skip_12,0.002692,0.002948
skip_13,0.001817,0.001958
skip_14,0.004000,0.004995
skip_15,0.002033,0.002784
skip_16,0.002369,0.002478
skip_17,0.002111,0.002539
skip_18,0.005294,0.005110
skip_19,0.003460,0.003457
